language,sex,age,words,n,measure,prop
Czech,All,16,až,29,produces,0
Czech,All,16,až,29,understands,0
Czech,All,17,až,29,produces,0
Czech,All,17,až,29,understands,0
Czech,All,18,až,45,produces,0
Czech,All,18,až,45,understands,0
Czech,All,19,až,27,produces,0
Czech,All,19,až,27,understands,0
Czech,All,20,až,26,produces,0
Czech,All,20,až,26,understands,0
Czech,All,21,až,34,produces,0
Czech,All,21,až,34,understands,0
Czech,All,22,až,36,produces,0.0278
Czech,All,22,až,36,understands,0
Czech,All,23,až,46,produces,0.0217
Czech,All,23,až,46,understands,0
Czech,All,24,až,35,produces,0.0286
Czech,All,24,až,35,understands,0
Czech,All,25,až,35,produces,0.0571
Czech,All,25,až,35,understands,0
Czech,All,26,až,22,produces,0.2273
Czech,All,26,až,22,understands,0
Czech,All,27,až,37,produces,0.1081
Czech,All,27,až,37,understands,0
Czech,All,28,až,26,produces,0.3462
Czech,All,28,až,26,understands,0
Czech,All,29,až,39,produces,0.1026
Czech,All,29,až,39,understands,0
Czech,All,30,až,27,produces,0.2593
Czech,All,30,až,27,understands,0
Danish,All,16,da,184,produces,0.0054
Danish,All,16,da,184,understands,0
Danish,All,17,da,176,produces,0.017
Danish,All,17,da,176,understands,0
Danish,All,18,da,160,produces,0.0125
Danish,All,18,da,160,understands,0
Danish,All,19,da,205,produces,0.0098
Danish,All,19,da,205,understands,0
Danish,All,20,da,196,produces,0.0051
Danish,All,20,da,196,understands,0
Danish,All,21,da,236,produces,0.0169
Danish,All,21,da,236,understands,0
Danish,All,22,da,235,produces,0.017
Danish,All,22,da,235,understands,0
Danish,All,23,da,190,produces,0.0053
Danish,All,23,da,190,understands,0
Danish,All,24,da,216,produces,0.0324
Danish,All,24,da,216,understands,0
Danish,All,25,da,138,produces,0.0507
Danish,All,25,da,138,understands,0
Danish,All,26,da,206,produces,0.0534
Danish,All,26,da,206,understands,0
Danish,All,27,da,176,produces,0.0739
Danish,All,27,da,176,understands,0
Danish,All,28,da,190,produces,0.1053
Danish,All,28,da,190,understands,0
Danish,All,29,da,182,produces,0.1044
Danish,All,29,da,182,understands,0
Danish,All,30,da,173,produces,0.1329
Danish,All,30,da,173,understands,0
Danish,All,31,da,175,produces,0.1771
Danish,All,31,da,175,understands,0
Danish,All,32,da,143,produces,0.3427
Danish,All,32,da,143,understands,0
Danish,All,33,da,151,produces,0.3444
Danish,All,33,da,151,understands,0
Danish,All,34,da,143,produces,0.3077
Danish,All,34,da,143,understands,0
Danish,All,35,da,113,produces,0.4248
Danish,All,35,da,113,understands,0
Danish,All,36,da,126,produces,0.4762
Danish,All,36,da,126,understands,0
Estonian,All,16,kui,36,produces,0.0278
Estonian,All,16,kui,36,understands,0
Estonian,All,17,kui,89,produces,0
Estonian,All,17,kui,89,understands,0
Estonian,All,18,kui,103,produces,0
Estonian,All,18,kui,103,understands,0
Estonian,All,19,kui,85,produces,0
Estonian,All,19,kui,85,understands,0
Estonian,All,20,kui,60,produces,0
Estonian,All,20,kui,60,understands,0
Estonian,All,21,kui,66,produces,0
Estonian,All,21,kui,66,understands,0
Estonian,All,22,kui,76,produces,0.0395
Estonian,All,22,kui,76,understands,0
Estonian,All,23,kui,95,produces,0.0526
Estonian,All,23,kui,95,understands,0
Estonian,All,24,kui,116,produces,0.069
Estonian,All,24,kui,116,understands,0
Estonian,All,25,kui,82,produces,0.122
Estonian,All,25,kui,82,understands,0
Estonian,All,26,kui,84,produces,0.131
Estonian,All,26,kui,84,understands,0
Estonian,All,27,kui,80,produces,0.15
Estonian,All,27,kui,80,understands,0
Estonian,All,28,kui,92,produces,0.2391
Estonian,All,28,kui,92,understands,0
Estonian,All,29,kui,100,produces,0.25
Estonian,All,29,kui,100,understands,0
Estonian,All,30,kui,71,produces,0.3803
Estonian,All,30,kui,71,understands,0
Irish,All,17,when,2,produces,0
Irish,All,17,when,2,understands,0
Irish,All,18,when,1,produces,0
Irish,All,18,when,1,understands,0
Irish,All,19,when,2,produces,0
Irish,All,19,when,2,understands,0
Irish,All,20,when,1,produces,0
Irish,All,20,when,1,understands,0
Irish,All,21,when,3,produces,0
Irish,All,21,when,3,understands,0
Irish,All,22,when,4,produces,0
Irish,All,22,when,4,understands,0
Irish,All,23,when,4,produces,0
Irish,All,23,when,4,understands,0
Irish,All,24,when,4,produces,0.25
Irish,All,24,when,4,understands,0
Irish,All,25,when,6,produces,0.1667
Irish,All,25,when,6,understands,0
Irish,All,26,when,10,produces,0
Irish,All,26,when,10,understands,0
Irish,All,27,when,5,produces,0
Irish,All,27,when,5,understands,0
Irish,All,28,when,7,produces,0
Irish,All,28,when,7,understands,0
Irish,All,29,when,4,produces,0
Irish,All,29,when,4,understands,0
